,t,x_gt,y_gt,x_gps,y_gps
0,0.0,0.0,-0.12575898919420067,0.0,-0.1227711711742075
1,0.1,0.23498679331136402,-0.11350919009908399,0.144405252446697,-0.11088702762253505
2,0.2,0.3476842014863959,-0.10639591682505789,0.2735588141053573,-0.11239590964654592
3,0.30000000000000004,0.48094885291360523,-0.10656824913832716,0.413680215191804,-0.10718238163435377
4,0.4,0.6346595557427586,-0.09805732221859242,0.5750944853921877,-0.10074380685512926
5,0.5,0.7845758068935813,-0.10085524213992611,0.7230700127095023,-0.08896602075739665
6,0.6000000000000001,0.8573643351338862,-0.0993564930230803,0.8578823216525326,-0.10712260950135086
7,0.7000000000000001,0.9666697585330337,-0.09849548495731453,1.0079818955135982,-0.08660517387657574
8,0.8,1.1766877690046371,-0.09116730852965632,1.1362700543631121,-0.10517363436773697
9,0.9,1.3499458415385768,-0.10473850439176124,1.3061033050865505,-0.11335707371975012
10,1.0,1.5218813294826434,-0.10844755876986811,1.4410349811298868,-0.10111725496301832
11,1.1,1.6690123512946013,-0.09578876594222396,1.6095854187368381,-0.10529202992632725
12,1.2000000000000002,1.7943099898894628,-0.09517129976955985,1.7447469812650378,-0.099338972248883
13,1.3,1.922643890170178,-0.10038055129018486,1.903348966987426,-0.08870871577400197
14,1.4000000000000001,2.0732836410268867,-0.0976748010636076,2.0253894955599323,-0.08448677700568374
15,1.5,2.249751657913366,-0.08708738867754584,2.1686255749292807,-0.08357608537626293
16,1.6,2.358567973777786,-0.08431376472005203,2.3106108103914207,-0.08045927923248042
17,1.7000000000000002,2.466430375845774,-0.08862906166059137,2.4482777507966955,-0.08552154295993775
18,1.8,2.628154242486134,-0.09750140942539964,2.5820308797052203,-0.06860786496695481
19,1.9000000000000001,2.77893564972265,-0.08630820712353882,2.721258919773916,-0.05229637161184275
20,2.0,2.926647153111675,-0.07403261774268399,2.8676555576807483,-0.042278884918212745
21,2.1,3.0468951560881496,-0.07323857833150571,3.0078694165245197,-0.04039891989838962
22,2.2,3.126882549758271,-0.05802650993925673,3.151159237920878,-0.033440188185663855
23,2.3000000000000003,3.3111337904610916,-0.052524440658347826,3.289534788327923,-0.029556182903609285
24,2.4000000000000004,3.5055211770238,-0.04604868555692154,3.4397127174650364,-0.02356392349167935
25,2.5,3.658021926166954,-0.04440131947789805,3.5651498436864877,-0.03550200639638579
26,2.6,3.805313893471636,-0.0407731299057974,3.721413784804663,-0.013814289367894306
27,2.7,3.933173032803561,-0.028621437149479734,3.8730338404857845,-0.032937750146208034
28,2.8000000000000003,4.049231292576788,-0.05102450904693634,4.031501322372741,-0.02560939629802661
29,2.9000000000000004,4.208622077169708,-0.029003710992206555,4.178632383901944,-0.013069475237704964
30,3.0,4.392563534072716,-0.03424054466734261,4.324613743204955,-0.026856740307759308
31,3.1,4.535440706035443,-0.038026573783701334,4.473024527990702,-0.024338624603658765
32,3.2,4.702766842727289,-0.02854953377242242,4.639194501444025,-0.016604792877219055
33,3.3000000000000003,4.807700357555216,-0.018655175862407836,4.783463659885779,-0.02172071279199672
34,3.4000000000000004,4.912945957503283,-0.02200780649592815,4.910433066174601,-0.005578497669647131
35,3.5,5.1111510595141,-0.01437918652369774,5.049267598775357,-0.005221146083508543
36,3.6,5.19193655704132,-0.0070934974889760305,5.175035342206083,-0.003493607796387188
37,3.7,5.338722886456663,-0.004753732682611478,5.30721962032387,0.005564990196698982
38,3.8000000000000003,5.4966732870077735,0.012124808562100853,5.445279529200056,0.012784152535003201
39,3.9000000000000004,5.640871906894121,0.02018673353687994,5.597080281345406,0.0283816148214302
40,4.0,5.740829174987043,0.03215799720438017,5.739617855306373,0.02147126180478054
41,4.1000000000000005,5.928074077329644,0.03860594143766738,5.873922052802188,0.03128282389923376
42,4.2,6.067364372496982,0.04794495389521902,6.010582573472082,0.0326029110019177
43,4.300000000000001,6.232698654927189,0.0307490266573347,6.14400629627607,0.03463569919373999
44,4.4,6.284673273068414,0.03592796320540037,6.257538588802308,0.03760738755860826
45,4.5,6.468216478213126,0.036704802852480345,6.415388363012119,0.025993046234404016
46,4.6000000000000005,6.615893537785354,0.036927556636193515,6.5702777219398465,0.03319938372031883
47,4.7,6.795535110592118,0.03171342645255226,6.744160560527129,0.004525723224237499
48,4.800000000000001,6.875121460784737,0.034702628203345576,6.894120635744915,0.008823270564448649
49,4.9,7.0378310591193465,0.05055908814990939,7.024200483387087,0.01512525467778536
50,5.0,7.208615022717455,0.05403502317273556,7.15126740678194,0.008135634864719243
51,5.1000000000000005,7.354544586774692,0.03403244605547773,7.2770688542680055,0.003436517191974353
52,5.2,7.492596260901957,0.028093860954429672,7.434121080394946,0.015649803046735133
53,5.300000000000001,7.616437943598566,0.03313286718395059,7.602074798369635,0.009522163912086157
54,5.4,7.770833351366443,0.024424422971065507,7.760887006877726,0.010193056108589893
55,5.5,7.92847079056563,0.02948441104137478,7.8936749416666805,-0.005297676302125076
56,5.6000000000000005,8.091143291093125,0.03134373179791128,8.041583184723804,0.018455071735342443
57,5.7,8.237780337058147,0.03650261173707969,8.167002922867605,0.025771572714943236
58,5.800000000000001,8.375801552998984,0.03733517067570924,8.304201887139767,0.0011591559835157916
59,5.9,8.52226527518975,0.03538032183939377,8.450561741865018,0.028294666755769082
60,6.0,8.681854843616316,0.03617946706392816,8.612741510390068,0.023856136126563232
61,6.1000000000000005,8.799236591163721,0.03257173747708508,8.773365875784851,0.02042180942471239
62,6.2,8.894063652837144,0.039402417399914125,8.915439153532972,0.03502308661451936
