rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,data
1477388577327597149,,192996,,1477388577,326515453,'',"""\n$GPGGA,094318.30,5603.97907234,N,00823.34644884,E,4,15,0.7,21.931,M,40.732,M,2.3,0015*76"""
1477388577338229168,,192997,,1477388577,329069930,'',"""\n$GPHDT,124.071,T*34"""
1477388577393235346,,192998,,1477388577,377540589,'',"""\n$GPGGA,094318.35,5603.97901009,N,00823.34640111,E,4,15,0.7,21.942,M,40.732,M,2.3,0015*7C"""
1477388577393305018,,192999,,1477388577,379774965,'',"""\n$GPHDT,123.246,T*35"""
1477388577440181371,,193000,,1477388577,439772458,'',"""\n$GPGGA,094318.40,5603.97894983,N,00823.34634267,E,4,15,0.7,21.945,M,40.732,M,2.4,0015*79"""
1477388577440226021,,193001,,1477388577,439807041,'',"""\n$GPHDT,123.490,T*38"""
1477388577477751824,,193002,,1477388577,477393689,'',"""\n$GPGGA,094318.45,5603.97889205,N,00823.34626429,E,4,15,0.7,21.957,M,40.732,M,2.5,0015*78"""
1477388577479250634,,193003,,1477388577,479055377,'',"""\n$GPHDT,124.916,T*3C"""
1477388577527763939,,193004,,1477388577,527351308,'',"""\n$GPGGA,094318.50,5603.97883920,N,00823.34620754,E,4,15,0.7,21.971,M,40.732,M,2.5,0015*71"""
1477388577529121449,,193005,,1477388577,528865181,'',"""\n$GPHDT,125.383,T*3B"""
1477388577578640473,,193006,,1477388577,577137234,'',"""\n$GPGGA,094318.55,5603.97878403,N,00823.34615234,E,4,15,0.7,21.962,M,40.732,M,2.5,0015*7B"""
1477388577579522865,,193007,,1477388577,578810759,'',"""\n$GPHDT,123.645,T*32"""
1477388577635267637,,193008,,1477388577,633182923,'',"""\n$GPGGA,094318.60,5603.97871317,N,00823.34610490,E,4,15,0.7,21.968,M,40.732,M,2.6,0015*72"""
1477388577635474814,,193009,,1477388577,634846662,'',"""\n$GPHDT,122.465,T*33"""
1477388577680190490,,193010,,1477388577,675698201,'',"""\n$GPGGA,094318.65,5603.97864363,N,00823.34605131,E,4,15,0.7,21.985,M,40.732,M,2.7,0015*78"""
1477388577680223176,,193011,,1477388577,677415120,'',"""\n$GPHDT,123.985,T*31"""
