,t,x_gt,y_gt,x_gps,y_gps
0,0.0,0.0,-0.20084604155144894,0.0,-0.19434880836594867
1,0.1,0.39093345977401084,-0.18128501427507193,0.2386234537576423,-0.1755389898115836
2,0.2,0.5785354603511803,-0.16992633928643916,0.45092695242353886,-0.17792652002673637
3,0.30000000000000004,0.7995841019801876,-0.1702008824786422,0.6818899940710218,-0.16967438291042625
4,0.4,1.055349274473904,-0.15661030872011508,0.9479900589300847,-0.15948325533160707
5,0.5,1.303778384900849,-0.16107719726072467,1.1924764084659354,-0.1408417694198581
6,0.6000000000000001,1.424660840221996,-0.15868372781527385,1.4125555962911474,-0.16957778400086865
7,0.7000000000000001,1.606060182099151,-0.1573084039183068,1.6613401625472708,-0.1371039675362553
8,0.8,1.9551211339345589,-0.14560615251090692,1.8706499889466432,-0.16649188956988226
9,0.9,2.2412782107019833,-0.1672752152082264,2.1492524507068875,-0.17944316048987075
10,1.0,2.5261497561978854,-0.1731968813672976,2.3723257294180082,-0.16007049030564757
11,1.1,2.771382377273021,-0.15298325378792932,2.649187082713134,-0.16667722048028444
12,1.2000000000000002,2.979287794012409,-0.15199675384223932,2.8720598579190226,-0.15725467507588187
13,1.3,3.1916931654829668,-0.16031407530895736,3.133919868132064,-0.14042938513406855
14,1.4000000000000001,3.441829409459145,-0.15599299772971364,3.335050752156786,-0.13374676627884496
15,1.5,3.735536572954106,-0.13908674206413174,3.5707410501334795,-0.13230480321520344
16,1.6,3.916300746433607,-0.1346574747548388,3.8045769150036572,-0.1273712083601144
17,1.7000000000000002,4.094829557211204,-0.14154747806640122,4.0305568732820385,-0.13538273564271264
18,1.8,4.3622860818145055,-0.15571373401361654,4.2521217797000475,-0.10861273426506024
19,1.9000000000000001,4.613439114670831,-0.13784031001835606,4.482636853095123,-0.08279579139661175
20,2.0,4.8595993731700515,-0.11823859548575233,4.724364107959451,-0.06694041712960574
21,2.1,5.059144532028572,-0.11697020490130106,4.9551724305738745,-0.0639644108634434
22,2.2,5.19323191575292,-0.09267994888027187,5.191507807527387,-0.05295017974673111
23,2.3000000000000003,5.499381781751291,-0.08389373442194659,5.419476784177283,-0.0468023738360559
24,2.4000000000000004,5.822435562142995,-0.07355275196163635,5.667053337008021,-0.037317768836835796
25,2.5,6.075561428107347,-0.07092169098287515,5.872283835821438,-0.05621180425357242
26,2.6,6.3202292193974605,-0.06512777126624814,6.131315803903195,-0.021885816917015966
27,2.7,6.533446208670646,-0.04572399786621961,6.378952785599111,-0.0521521327096055
28,2.8000000000000003,6.723904533778323,-0.08149571949426138,6.640287655147629,-0.04055286258304225
29,2.9000000000000004,6.990336497514167,-0.04633329821927301,6.883455136198631,-0.020705238568770934
30,3.0,7.294983309196769,-0.05469450977362156,7.122308281622702,-0.04252593599996324
31,3.1,7.531644736887836,-0.06073930773552538,7.366658333890289,-0.038539930228771
32,3.2,7.810084742771458,-0.04560616466598333,7.640700218578285,-0.026298895391469124
33,3.3000000000000003,7.985063897460012,-0.029806907100505597,7.87753513031568,-0.0343953856183834
34,3.4000000000000004,8.159340544171323,-0.03515983225728414,8.087870628153073,-0.008846464881795413
35,3.5,8.488833516129763,-0.022978053119162123,8.316269989540325,-0.008280376832598968
36,3.6,8.623514718767328,-0.011344299596151686,8.523302138407976,-0.005545729875580996
37,3.7,8.867225077410021,-0.007607720904222681,8.741563497473779,0.008791883209466445
38,3.8000000000000003,9.130794025042517,0.019343740477435034,8.969320273962166,0.020218221251806057
39,3.9000000000000004,9.370738869369427,0.03221717776619171,9.220450277329526,0.04490502627532722
40,4.0,9.53765454854627,0.05133270594575334,9.454271778537773,0.03396843392911375
41,4.1000000000000005,9.848857568095763,0.0616291632704522,9.676089466571753,0.049497764956391244
42,4.2,10.080777931797721,0.07654176815083513,9.901001453271578,0.05158755358598288
43,4.300000000000001,10.35345688456878,0.04908469119779113,10.120654890903484,0.05480532313950981
44,4.4,10.44015143790835,0.05735436295173191,10.307675680866227,0.05950903395871876
45,4.5,10.74469156563344,0.058595428332323785,10.56625099737899,0.04112741991076163
46,4.6000000000000005,10.989684506488953,0.05895162393054587,10.821689067798758,0.05253348550730941
47,4.7,11.287200621326377,0.05062656058591131,11.105066717964728,0.007151944996233617
48,4.800000000000001,11.419496882122143,0.055399850867914324,11.352128970761141,0.013954209757105929
49,4.9,11.6908664407629,0.08071926924644313,11.566675077951775,0.02392885129336797
50,5.0,11.974489670739437,0.08627005623568351,11.775041892981386,0.012866708876766886
51,5.1000000000000005,12.21472080634987,0.054331342508213254,11.98153797370931,0.005429764889123945
52,5.2,12.443179266684014,0.044849338370257286,12.240994561000829,0.024760361383537877
53,5.300000000000001,12.649076802684064,0.052895795813619806,12.516694694391349,0.015062604077056285
54,5.4,12.904391739847885,0.03899104846532264,12.777983866151494,0.01612492478975991
55,5.5,13.166352922663652,0.047071110640200864,12.994978621569599,-0.00839202504594283
56,5.6000000000000005,13.436371647124222,0.050040506379494865,13.240456553040705,0.02920216353107019
57,5.7,13.680094065320583,0.058278430299721684,13.44743071352903,0.04078244921554841
58,5.800000000000001,13.909125702654922,0.059608249537156155,13.670841518717623,0.0018285098181065607
59,5.9,14.151905346967634,0.05648728835663697,13.9140838963904,0.04477662037899588
60,6.0,14.416712330931082,0.05776381089917049,14.180442037744344,0.037752181110541905
61,6.1000000000000005,14.611097419808823,0.05200350757588801,14.444334151451503,0.03231709668682026
62,6.2,14.769029422697535,0.06291071264660886,14.679371937200239,0.05542710844523313
63,6.300000000000001,14.996648300976682,0.08791776128735673,14.877917709281865,0.03482180399958246
