rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,hour,min,sec,status,latitude,lat_hemisphere,longitude,long_hemisphere,speed,course,date,month,year,mag_variation,mag_var_direction,mode
1477388576527874863,,544006,,1477388576,527158450,"""Velodyne_32e_GPS""",9,43,16,"""A""",5603.98583984375,"""N""",823.3494262695312,"""E""",3.200000047683716,181.5,25,10,16,1.2999999523162842,"""E""","""D"""
1477388576536598188,,544007,,1477388576,535950825,"""Velodyne_32e_GPS""",9,43,16,"""A""",5603.98583984375,"""N""",823.3494262695312,"""E""",3.200000047683716,181.5,25,10,16,1.2999999523162842,"""E""","""D"""
1477388576545361338,,544008,,1477388576,544771564,"""Velodyne_32e_GPS""",9,43,16,"""A""",5603.98583984375,"""N""",823.3494262695312,"""E""",3.200000047683716,181.5,25,10,16,1.2999999523162842,"""E""","""D"""
1477388576554086355,,544009,,1477388576,553609054,"""Velodyne_32e_GPS""",9,43,16,"""A""",5603.98583984375,"""N""",823.3494262695312,"""E""",3.200000047683716,181.5,25,10,16,1.2999999523162842,"""E""","""D"""
1477388576563813333,,544010,,1477388576,562467718,"""Velodyne_32e_GPS""",9,43,16,"""A""",5603.98583984375,"""N""",823.3494262695312,"""E""",3.200000047683716,181.5,25,10,16,1.2999999523162842,"""E""","""D"""
1477388576574008788,,544011,,1477388576,571351757,"""Velodyne_32e_GPS""",9,43,16,"""A""",5603.98583984375,"""N""",823.3494262695312,"""E""",3.200000047683716,181.5,25,10,16,1.2999999523162842,"""E""","""D"""
1477388576582011510,,544012,,1477388576,580166360,"""Velodyne_32e_GPS""",9,43,16,"""A""",5603.98583984375,"""N""",823.3494262695312,"""E""",3.200000047683716,181.5,25,10,16,1.2999999523162842,"""E""","""D"""
1477388576589833265,,544013,,1477388576,589034265,"""Velodyne_32e_GPS""",9,43,16,"""A""",5603.98583984375,"""N""",823.3494262695312,"""E""",3.200000047683716,181.5,25,10,16,1.2999999523162842,"""E""","""D"""
1477388576598135324,,544014,,1477388576,597847341,"""Velodyne_32e_GPS""",9,43,16,"""A""",5603.98583984375,"""N""",823.3494262695312,"""E""",3.200000047683716,181.5,25,10,16,1.2999999523162842,"""E""","""D"""
1477388576608504186,,544015,,1477388576,606709708,"""Velodyne_32e_GPS""",9,43,16,"""A""",5603.98583984375,"""N""",823.3494262695312,"""E""",3.200000047683716,181.5,25,10,16,1.2999999523162842,"""E""","""D"""
1477388576616334814,,544016,,1477388576,615564657,"""Velodyne_32e_GPS""",9,43,16,"""A""",5603.98583984375,"""N""",823.3494262695312,"""E""",3.200000047683716,181.5,25,10,16,1.2999999523162842,"""E""","""D"""
1477388576625073940,,544017,,1477388576,624378275,"""Velodyne_32e_GPS""",9,43,16,"""A""",5603.98583984375,"""N""",823.3494262695312,"""E""",3.200000047683716,181.5,25,10,16,1.2999999523162842,"""E""","""D"""
1477388576633979071,,544018,,1477388576,633287385,"""Velodyne_32e_GPS""",9,43,16,"""A""",5603.98583984375,"""N""",823.3494262695312,"""E""",3.200000047683716,181.5,25,10,16,1.2999999523162842,"""E""","""D"""
1477388576644181171,,544019,,1477388576,643077773,"""Velodyne_32e_GPS""",9,43,16,"""A""",5603.98583984375,"""N""",823.3494262695312,"""E""",3.200000047683716,181.5,25,10,16,1.2999999523162842,"""E""","""D"""
1477388576651441220,,544020,,1477388576,650926721,"""Velodyne_32e_GPS""",9,43,17,"""A""",5603.98486328125,"""N""",823.34912109375,"""E""",4.5,197.39999389648438,25,10,16,1.2999999523162842,"""E""","""D"""
1477388576660553303,,544021,,1477388576,659805011,"""Velodyne_32e_GPS""",9,43,17,"""A""",5603.98486328125,"""N""",823.34912109375,"""E""",4.5,197.39999389648438,25,10,16,1.2999999523162842,"""E""","""D"""
1477388576670358403,,544022,,1477388576,668655903,"""Velodyne_32e_GPS""",9,43,17,"""A""",5603.98486328125,"""N""",823.34912109375,"""E""",4.5,197.39999389648438,25,10,16,1.2999999523162842,"""E""","""D"""
1477388576680734005,,544023,,1477388576,677509035,"""Velodyne_32e_GPS""",9,43,17,"""A""",5603.98486328125,"""N""",823.34912109375,"""E""",4.5,197.39999389648438,25,10,16,1.2999999523162842,"""E""","""D"""
1477388576694034798,,544024,,1477388576,686332839,"""Velodyne_32e_GPS""",9,43,17,"""A""",5603.98486328125,"""N""",823.34912109375,"""E""",4.5,197.39999389648438,25,10,16,1.2999999523162842,"""E""","""D"""
1477388576698708814,,544025,,1477388576,695263508,"""Velodyne_32e_GPS""",9,43,17,"""A""",5603.98486328125,"""N""",823.34912109375,"""E""",4.5,197.39999389648438,25,10,16,1.2999999523162842,"""E""","""D"""
1477388576704847536,,544026,,1477388576,704054915,"""Velodyne_32e_GPS""",9,43,17,"""A""",5603.98486328125,"""N""",823.34912109375,"""E""",4.5,197.39999389648438,25,10,16,1.2999999523162842,"""E""","""D"""
1477388576713432198,,544027,,1477388576,712884859,"""Velodyne_32e_GPS""",9,43,17,"""A""",5603.98486328125,"""N""",823.34912109375,"""E""",4.5,197.39999389648438,25,10,16,1.2999999523162842,"""E""","""D"""
1477388576722242165,,544028,,1477388576,721734903,"""Velodyne_32e_GPS""",9,43,17,"""A""",5603.98486328125,"""N""",823.34912109375,"""E""",4.5,197.39999389648438,25,10,16,1.2999999523162842,"""E""","""D"""
1477388576730924962,,544029,,1477388576,730574923,"""Velodyne_32e_GPS""",9,43,17,"""A""",5603.98486328125,"""N""",823.34912109375,"""E""",4.5,197.39999389648438,25,10,16,1.2999999523162842,"""E""","""D"""
1477388576741944936,,544030,,1477388576,739423626,"""Velodyne_32e_GPS""",9,43,17,"""A""",5603.98486328125,"""N""",823.34912109375,"""E""",4.5,197.39999389648438,25,10,16,1.2999999523162842,"""E""","""D"""
1477388576748805136,,544031,,1477388576,748257680,"""Velodyne_32e_GPS""",9,43,17,"""A""",5603.98486328125,"""N""",823.34912109375,"""E""",4.5,197.39999389648438,25,10,16,1.2999999523162842,"""E""","""D"""
1477388576757675566,,544032,,1477388576,757126143,"""Velodyne_32e_GPS""",9,43,17,"""A""",5603.98486328125,"""N""",823.34912109375,"""E""",4.5,197.39999389648438,25,10,16,1.2999999523162842,"""E""","""D"""
1477388576768636576,,544033,,1477388576,765960966,"""Velodyne_32e_GPS""",9,43,17,"""A""",5603.98486328125,"""N""",823.34912109375,"""E""",4.5,197.39999389648438,25,10,16,1.2999999523162842,"""E""","""D"""
1477388576776551623,,544034,,1477388576,774836860,"""Velodyne_32e_GPS""",9,43,17,"""A""",5603.98486328125,"""N""",823.34912109375,"""E""",4.5,197.39999389648438,25,10,16,1.2999999523162842,"""E""","""D"""
1477388576800333339,,544035,,1477388576,783689686,"""Velodyne_32e_GPS""",9,43,17,"""A""",5603.98486328125,"""N""",823.34912109375,"""E""",4.5,197.39999389648438,25,10,16,1.2999999523162842,"""E""","""D"""
1477388576800340948,,544036,,1477388576,792718763,"""Velodyne_32e_GPS""",9,43,17,"""A""",5603.98486328125,"""N""",823.34912109375,"""E""",4.5,197.39999389648438,25,10,16,1.2999999523162842,"""E""","""D"""
